image_name,gender,items_num,style,season,item1_type,item1_color,item2_type,item2_color,item3_type,item3_color,item4_type,item4_color
P1090841.jpg,female,4,Casual,Autumn,Jeans,Light Blue,Shirt,Black,Knitwear,Purple,Shoes,Black
P1090842.jpg,female,4,Casual,Autumn,Jeans,Dark Blue,Shirt,Grey,Knitwear,Black,Shoes,Black
P1090843.jpg,female,3,Casual,Summer,Jeans,Light Blue,T-Shirt,Purple,Shoes,Brown,,
P1090844.jpg,female,4,Casual,Autumn,Jeans,Light Blue,T-Shirt,White,Jacket,Brown,Scarf,Multi-colored
P1090845.jpg,female,3,Casual,Autumn,Jeans,Dark Blue,Shirt,Scarlet,Shoes,Black,,
P1090846.jpg,female,4,Casual,Autumn,Jeans,Light Blue,T-Shirt,Pink,Knitwear,Beige,Shoes,Brown
P1090848.jpg,female,3,Casual,Autumn,Trousers,Light Blue,Knitwear,Grey,Shoes,Black,,
P1090849.jpg,female,3,Casual,Autumn,Trousers,Brown,Shirt,Light Green,Shoes,White,,
P1090850.jpg,female,4,Casual,Autumn,Trousers,Black,T-Shirt,White,Jacket,Grey,Shoes,Black
P1090852.jpg,female,4,Casual,Autumn,Jeans,Light Blue,T-Shirt,White,Knitwear,Grey,Shoes,Grey
P1090854.jpg,female,4,Casual,Autumn,Trousers,White,Shirt,Grey,Knitwear,Black,Shoes,Beige
P1090855.jpg,female,4,Casual,Autumn,Jeans,Light Blue,T-Shirt,Dark Blue,Shoes,Grey,Scarf,Pink
P1090856.jpg,female,2,Casual,Summer,Jeans,Dark Blue,T-Shirt,White,,,,
P1090857.jpg,female,4,Casual,Autumn,Jeans,Black,T-Shirt,White,Shirt,Grey,Shoes,Black
P1090858.jpg,female,4,Casual,Autumn,Trousers,Dark Blue,Shirt,White,Coat,Grey,Shoes,Brown
P1090859.jpg,female,4,Casual,Autumn,Jeans,Dark Blue,Shirt,Grey,Knitwear,Beige,Shoes,Black
P1090860.jpg,female,3,Casual,Autumn,Trousers,Black,T-Shirt,White,Knitwear,Black,,
P1090861.jpg,female,4,Casual,Autumn,Jeans,Black,T-Shirt,Black,Knitwear,Black,Shoes,Beige
pic62.jpg,female,4,Casual,Autumn,Jeans,Dark Blue,Shirt,Black,Knitwear,Pink,Shoes,Light Blue
pic63.jpg,female,2,Casual,Summer,Skirt,Light Blue,T-Shirt,White,,,,
pic64.jpg,female,2,Casual,Summer,Jeans,Dark Blue,T-Shirt,Black,,,,
pic65.jpg,female,3,Casual,Summer,Jeans,Light Blue,T-Shirt,White,Shoes,Black,,
pic66.jpg,female,3,Casual,Autumn,Jeans,White,Shirt,White,Knitwear,Grey,Shoes,White
pic67.jpg,female,4,Casual,Autumn,Trousers,Dark Blue,Shirt,Light Blue,Scarf,Light Blue,Shoes,Black
pic68.jpg,female,3,Casual,Autumn,Jeans,Dark Blue,Shirt,White,Shoes,White,,
pic69.jpg,female,2,Casual,Summer,Jeans,Light Blue,T-Shirt,Pink,,,,
P1090821.jpg,female,3,Casual,Spring,Trousers,Beige,T-Shirt,White,Shoes,Black,,
P1090824.jpg,female,4,Casual,Autumn,Jeans,Purple,Shirt,Black,Scarf,Grey,Shoes,Beige
P1090825.jpg,male,3,Casual,Spring,Jeans,Dark Blue,T-Shirt,White,Shoes,Grey,,
P1090827.jpg,female,3,Casual,Autumn,Skirt,Beige,Knitwear,Black,Shoes,Black,,
P1090831.jpg,female,4,Casual,Winter,Jeans,Dark Blue,T-Shirt,White,Knitwear,Grey,Shoes,Brown
P1090832.jpg,female,2,Casual,Autumn,Trousers,Scarlet,Shirt,Dark Blue,,,,
P1090833.jpg,female,4,Casual,Spring,Jeans,Light Blue,T-Shirt,Light Blue,Knitwear,Black,Shoes,Brown
P1090834.jpg,female,3,Casual,Autumn,Jeans,Light Blue,Shirt,White,Knitwear,Beige,,
P1090835.jpg,female,3,Casual,Spring,Jeans,Dark Blue,Shirt,Black,Scarf,Multi-colored,,
P1090836.jpg,female,3,Casual,Spring,Jeans,Black,T-Shirt,Black,Shoes,Black,,
P1090837.jpg,female,4,Casual,Autumn,Jeans,Light Blue,T-Shirt,White,Jacket,Multi-colored,Shoes,White
P1090838.jpg,female,4,Casual,Autumn,Jeans,Light Blue,Shirt,White,Knitwear,Turquoise,Shoes,Grey
P1090839.jpg,female,3,Casual,Autumn,Trousers,Black,Shirt,Dark Blue,Shoes,Red,,
P1090840.jpg,female,4,Casual,Autumn,Jeans,Light Blue,Shirt,Multi-colored,Knitwear,Purple,Shoes,Brown
